" Plot","CIPN","BCODE","Rep","LEFTPP_TP1","LEFTPP_TP1_SR","LEFTPP_TP2","LEFTPP_TP2_SR","LEFTPP_TP3","LEFTPP_TP3_SR","PLANTH_TP1","PLANTH_TP1_log","PLANTH_TP2","PLANTH_TP2_log","VINDIA","LEAFSHAP1","LEAFSHAP2","LEAFSHAP3","LEAFSHAP4","LFSIZE","PETIOL","VFW","VDW","NOSR","NOSR_log","SRFW","SRFW_log","SRDW","SRDW_log","PTRN","PTRN_log","PTRFW","PTRFW_log","LA"
"109","CIP107665.19","M19","1","6","2.449","8","2.828","22","4.69","2.5","0.544","8","0.954","1.79","3","0","1","0","8.3","7.9","270.29","55.1","4","0.698970004","3.35","0.638489257","1.1","0.322219295","6","0.84509804","3.92","0.691965103","14998.65704"
"87","CIP107665.9","M9","1","4","2","9","3","219","14.799","5","0.778","35","1.556","1.85","3","0","1","0","6.9","6.5","298.93","75","1","0.301029996","0.64","0.214843848","0.21","0.08278537","5","0.77815125","1.89","0.460897843","11654.02325"
"126","CIP113735.221","PT13.221","1","11","3.317","14","3.742","291","17.059","13","1.146","81","1.914","1.95","4","0","1","0","7.4","3.6","346.76","85.76","2","0.477121255","2.14","0.496929648","0.8","0.255272505","5","0.77815125","2.12","0.494154594","19443.08769"
"94","CIP113735.222","PT13.222","1","9","3","8","2.828","45","6.708","9","1","37","1.58","1.65","6","5","3","4","7.8","7.2","233.02","68.62","1","0.301029996","5.41","0.80685803","1.9","0.462397998","4","0.698970004","0.97","0.294466226","13588.37603"
"151","CIP113735.223","PT13.223","1","6","2.449","8","2.828","38","6.164","7","0.903","46","1.672","1.84","6","5","3","4","6.8","7","270.83","66.77","2","0.477121255","3.32","0.635483747","1.4","0.380211242","1","0.301029996","0.42","0.152288344","14113.71177"
"91","CIP113735.224","PT13.224","1","6","2.449","11","3.317","18","4.243","7","0.903","65","1.82","1.63","4","0","1","0","8.3","10.6","328.93","70.32","2","0.477121255","1.12","0.326335861","0.5","0.176091259","3","0.602059991","1.79","0.445604203","16346.99244"
"26","CIP113735.225","PT13.225","1","8","2.828","8","2.828","24","4.899","37.5","1.585","55","1.748","1.41","4","0","1","0","6.1","8.7","293.93","66.04","0","0","0","0","0","0","6","0.84509804","2.58","0.553883027","16205.90227"
"120","CIP113735.226","PT13.226","1","6","2.449","11","3.317","22","4.69","8.5","0.978","29","1.477","1.88","4","0","1","0","7.6","5.7","274.76","68.13","6","0.84509804","10.46","1.059184618","3.9","0.69019608","1","0.301029996","0.47","0.167317335","15079.22356"
"80","CIP113735.227","PT13.227","1","10","3.162","13","3.606","29","5.385","13.5","1.161","77","1.892","2.15","6","5","3","4","7.4","6.2","245.92","58.19","2","0.477121255","1.87","0.457881897","0.7","0.230448921","4","0.698970004","3.18","0.621176282","13905.89098"
"162","CIP113735.228","PT13.228","1","7","2.646","12","3.464","35","5.916","19","1.301","71","1.857","1.77","6","3","3","4","7.6","6.7","319.73","75.82","2","0.477121255","2.2","0.505149978","1.1","0.322219295","2","0.477121255","1.38","0.376576957","19022.52567"
