"","LEAFSHAP1","LEAFSHAP2","LEAFSHAP3","LEAFSHAP4","LEFTPP_TP1","LEFTPP_TP2","LEFTPP_TP3","PLANTH_TP1","PLANTH_TP2","VINDIA","LA"
"CIP107665.19",3.52469934742017,0.253973670248966,1.13010080434547,0.266587293463607,7.55423202807318,8.25323436222426,73.5705001280102,6.52344821844509,19.2922152612347,1.79638321449464,16032.8444417115
"CIP107665.9",3.91728828908971,0.253973670248966,1.13010080434547,0.266587293463607,5.66856091842517,8.40257883125002,69.8104219787943,9.35135849321546,36.1111330999391,1.67631852243593,15867.1879089034
"CIP113735.221",4.11358275992448,0.253973670248966,1.13010080434547,0.266587293463607,8.3623767893509,12.8829129020229,85.9035564574385,19.3702406095447,70.4964762368458,1.77668510095375,17102.9938985528
"CIP113735.222",5.29134958493311,3.29072661998316,2.34337040676895,2.67391104107986,7.68892282161946,9.29864564540461,72.5176782462298,7.3314225826652,37.5127095864978,1.78512714961413,15862.7570785366
"CIP113735.223",4.50617170159402,1.2662246534937,1.5345240051533,1.06902854266902,6.47670567970289,8.40257883125002,72.5928798092141,7.00823283697715,47.9778140194694,1.85266353889715,14869.6864005937
"CIP113735.224",4.11358275992448,0.253973670248966,1.13010080434547,0.266587293463607,6.61139647324917,9.14930117637885,83.7979126938776,6.11946103633504,43.4927692624815,1.80951529018856,15459.1161683745
"CIP113735.225",3.91728828908971,0.253973670248966,1.13010080434547,0.266587293463607,6.47670567970289,8.99995670735308,56.3493422046012,16.9463175168844,47.0434296950969,1.70914871167073,16627.4817575794
"CIP113735.226",4.11358275992448,0.253973670248966,1.13010080434547,0.266587293463607,7.2848504409806,8.70126776930155,80.0378345446616,11.3712944037657,57.0413419658823,1.88080370109841,17041.3377006712
"CIP113735.227",4.70246617242879,1.87357524344054,1.93894720596112,1.87146979187444,8.76644916998976,11.2401237427395,75.6761438915712,8.30099181972932,55.2660117495746,1.87423766325145,15757.2409661247
"CIP113735.228",4.89876064326357,1.46867485014265,1.93894720596112,1.87146979187444,6.74608726679546,9.29864564540461,67.2535688373274,15.4111662248662,48.1646908843439,1.79544520908793,17249.4136881032
"CIP113735.229",3.91728828908971,0.253973670248966,1.13010080434547,0.266587293463607,7.68892282161946,9.44799011443037,66.7271578964372,7.16982770982117,25.9263439642792,1.83484143616969,16787.6588880325
"CIP113735.230",4.70246617242879,2.07602544008949,2.34337040676895,2.67391104107986,5.80325171197145,8.25323436222426,73.4952985650259,8.38178925615133,39.3814782352427,1.87611367406487,15834.7669468237
"CIP113735.232",5.68393852660265,3.49317681663211,2.74779360757677,3.47635229028528,5.80325171197145,7.6558564861212,58.0037765902562,6.44265078202308,43.8665229922305,1.78887917124097,16601.1003745637
"CIP113735.233",4.11358275992448,0.861324260195806,1.5345240051533,1.06902854266902,6.61139647324917,7.50651201709544,55.4469234487894,11.1289020944997,42.7452618029836,1.71008671707744,15443.7712582329
"CIP113735.234",4.50617170159402,1.87357524344054,1.93894720596112,1.87146979187444,6.47670567970289,9.59733458345614,87.4827892801092,8.22019438330731,53.0234893710807,1.94646407956801,16386.5258386385
"CIP113735.235",5.29134958493311,3.29072661998316,2.34337040676895,2.67391104107986,7.2848504409806,9.59733458345613,64.1703047549704,16.2999380255083,66.3851852096069,1.74385491171895,17128.875120329
"CIP113735.236",4.11358275992448,0.253973670248966,1.13010080434547,0.266587293463607,6.3420148861566,9.59733458345614,59.8838156648642,7.08903027339916,41.1568084515504,1.75511097659946,15925.854915632
"CIP113735.237",4.50617170159402,0.861324260195807,1.5345240051533,1.06902854266902,7.01546885388803,9.44799011443037,77.4809814031948,8.54338412899535,39.0077245054937,1.86204359296424,16554.1159296795
"CIP113735.238",5.29134958493311,2.88582622668527,2.34337040676895,2.67391104107986,8.09299520225832,11.0907792737138,93.799720570792,9.27056105679345,76.6634127777041,1.74760693334579,14733.1674266172
"CIP113735.239",4.11358275992448,0.253973670248966,1.13010080434547,0.266587293463607,6.3420148861566,10.344056928585,60.786234420676,14.0376098056921,61.8067020201819,1.75886299822629,16772.1833488281
"CIP113735.240",4.50617170159402,1.2662246534937,1.5345240051533,1.06902854266902,7.15015964743432,11.5388126807911,68.5319954080609,8.1393969468853,37.3258327216233,1.74197890090554,15114.0434072036
"CIP113735.241",4.30987723075925,0.861324260195807,1.5345240051533,1.06902854266902,6.20732409261031,9.59733458345614,74.2473141948691,6.11946103633504,28.6360585049593,1.81983334966235,16792.7628735622
"CIP113735.242",4.89876064326357,1.46867485014265,1.93894720596112,1.87146979187444,6.47670567970289,9.89602352150767,62.2902656803624,5.87706872706901,41.9977543434856,1.71759076033111,17051.0937631289
"CIP113735.243",4.11358275992448,0.253973670248966,1.13010080434547,0.266587293463607,7.01546885388803,8.1038898931985,87.7083939690622,5.95786616349102,33.0276648295099,1.70352067923048,14729.7757544277
"CIP113735.244",3.72099381825494,0.253973670248966,1.13010080434547,0.266587293463607,6.47670567970289,11.5388126807911,88.385208035921,7.16982770982117,60.8723176958094,1.82452337669589,16133.0659179089
"CIP113735.245",4.11358275992448,0.253973670248966,1.13010080434547,0.266587293463607,7.01546885388803,10.7920903356622,75.3753376396339,16.9463175168844,64.7967318581738,1.79169318746109,15286.0596222273
"CIP113735.246",4.11358275992448,0.253973670248966,1.13010080434547,0.266587293463607,5.93794250551774,9.59733458345613,78.232997033038,6.52344821844509,53.0234893710807,1.8142053172221,15200.3157176159
